season_year,ubay_djf_mm,ubay_jja_mm,manaus_djf_mm,oni_djf,oni_prev_son,dmi_djf
1992,99.10000000000001,397.40000000000003,751.4999999999999,1.7,0.8,-0.20833333333333334
1993,375.2,543.3,997.7,0.1,-0.2,-0.159
1994,557.9999999999999,501.80000000000007,963.1,0.1,0.1,-0.10899999999999999
1995,326.6,624.1,593.7,1.0,0.7,0.18866666666666668
1996,967.3000000000001,526.1,990.0,-0.9,-1.0,0.011999999999999997
1997,373.7,525.5,814.8000000000001,-0.5,-0.4,-0.148
1998,124.2,434.29999999999995,706.6,2.2,2.3,0.6033333333333333
1999,566.8,627.1999999999999,1020.9,-1.5,-1.4,-0.168
2000,652.7,566.9999999999999,1007.7,-1.7,-1.3,-0.09400000000000001
2001,479.50000000000006,604.5,792.6,-0.7,-0.6,-0.2316666666666667
2002,436.70000000000005,526.7,906.1999999999999,-0.1,-0.3,-0.09699999999999999
2003,318.59999999999997,575.8000000000001,759.9,0.9,1.2,-0.12666666666666668
2004,583.0,523.1,798.8000000000001,0.4,0.3,0.11566666666666665
2005,211.29999999999998,545.8,883.5999999999999,0.6,0.7,-0.272
2006,856.8000000000001,545.6999999999999,1153.8,-0.9,-0.3,-0.247
2007,409.2,508.7999999999999,688.0000000000001,0.7,0.8,0.18233333333333335
2008,957.7,507.9999999999999,1019.3,-1.6,-1.3,-0.06133333333333333
2009,816.5999999999998,514.2999999999998,1219.6000000000001,-0.8,-0.4,0.04700000000000001
2010,306.50000000000006,602.1,914.0,1.5,1.0,0.159
2011,1012.0,646.9,882.2,-1.3,-1.6,0.07333333333333333
2012,713.0999999999999,436.6,978.5000000000001,-0.7,-1.0,-0.05333333333333334
2013,839.8,807.3000000000001,925.0,-0.3,0.3,0.13033333333333333
2014,820.6,740.6,772.7,-0.3,-0.1,-0.01633333333333334
2015,458.29999999999995,556.3000000000001,923.1,0.7,0.5,-0.13299999999999998
2016,369.3,555.6999999999999,566.1999999999999,2.6,2.5,0.14233333333333334
2017,715.1999999999999,780.0,991.5,-0.2,-0.6,-0.09833333333333334
2018,945.6,446.69999999999993,871.7,-0.8,-0.6,0.042
2019,420.8,482.3999999999999,849.0,0.9,0.8,0.37066666666666664
2020,333.5999999999999,776.3,711.0,0.6,0.4,0.15666666666666665
